Name,Description,Satellites,Website,Jobs site,Jobs 2,Locations,Remote,Crunchbase,Linkedin,Twitter,SPAC,Github,Youtube,Stocks,Medium,Instagram,Notes
CGI,"IT business consulting, has space/EO teams",,https://www.cgi.com/uk/en-gb,https://cgi.njoyn.com/CGI/xweb/xweb.asp?page=JobListing&CLID=21001&CountryID=UK&lang=1,,Many locations across the world,,https://www.crunchbase.com/organization/cgi,https://www.linkedin.com/company/cgi/,https://twitter.com/CGI_Global,,,,,,,
Ubotica,On-board processing,,https://ubotica.com/,https://ubotica.com/careers/,,"🇮🇪 Dublin, Ireland | 🇪🇸 Madrid, Spain | 🇨🇦 Ottawa, Canada | 🇳🇱 Delft, Netherlands",No,https://www.crunchbase.com/organization/ubotica,https://www.linkedin.com/company/ubotica-technologies,https://twitter.com/ubotica?lang=en,,https://github.com/Ubotica,,,,,
Deep Planet,AI and satellite data for vineyards,,https://www.deepplanet.ai/,https://www.deepplanet.ai/we-are-hiring,,"🇬🇧 Oxford, UK",Yes,https://www.crunchbase.com/organization/deep-planet,https://www.linkedin.com/company/deep-planet/,https://twitter.com/deepplanet3?lang=en,,,,,,,
Solargis,Solar irradiance monitoring and forecasting,,https://solargis.com/,https://solargis.com/about-us/jobs,https://sk.jooble.org/pr%C3%A1ca-Solargis-s.r.o.?comp,"🇸🇰 Bratislava, Slovakia",Yes,https://www.crunchbase.com/organization/solargis,https://www.linkedin.com/company/solargis?originalSubdomain=sk,https://twitter.com/solargis,,,https://www.youtube.com/channel/UCJ3mbAUcrsT4kM9YEONd3kQ,,,,
Albo Climate,Carbon sequestration evaluation through satellite imagery,,https://www.albosys.com/,?,,"🇮🇱 Tel Aviv, Israel",No jobs,https://www.crunchbase.com/organization/albo-systems,https://www.linkedin.com/company/albosys/?viewAsMember=true,https://twitter.com/AlboClimate,,,,,,,
Geollect,"Geospatial intelligence focused on defense, insurance and cruise lines",,https://www.geollect.com/,https://www.geollect.com/about/careers/,https://www.linkedin.com/company/geollect/jobs/,"🇬🇧 Bristol, UK",No,https://www.crunchbase.com/organization/geollect,https://www.linkedin.com/company/geollect/,https://twitter.com/geollect_news,,,https://www.youtube.com/channel/UCzbRtYBeJb7sSDJmXBdsNhg,,,,
Soar.Earth,Platform for maps and imagery,,https://about.soar.earth/index.html,,https://www.linkedin.com/company/soar-earth/jobs/,"🇦🇺 Perth, Australia",Hybrid (Australia),https://www.crunchbase.com/organization/soar-c90e,https://www.linkedin.com/company/soar-earth/,https://twitter.com/Soar_Earth,,,https://www.youtube.com/channel/UCklyklf0WEeHZtlY-X-q28g,,https://medium.com/soar-earth,,
makepath,"Spatial data science, developing FOSS geospatial tools (xarray, bokeh, datashader)",,https://makepath.com,https://makepath.com/careers/,,"🇺🇸 Austin, TX, USA",Yes,https://www.crunchbase.com/organization/makepath,https://www.linkedin.com/company/makepath/,https://twitter.com/makepathgis,,,,,,,
Brockmann Consult,"Environmental data and EO, software solutions",,https://www.brockmann-consult.de/,https://www.brockmann-consult.de/career/,,"🇩🇪 Hamburg, Germany",No,https://www.crunchbase.com/organization/brockmann-consult,https://www.linkedin.com/company/brockmann-consult/,https://twitter.com/BrockmannCon,,,,,,,
Kappazeta,"SAR monitoring, change detection, precision agriculture",,https://kappazeta.ee/,https://kappazeta.ee/jobs,,"🇪🇪 Tartu, Estonia",No,,https://www.linkedin.com/company/kappazeta-ltd/,,,,,,,,
ApolloMapping,Imagery marketplace,,https://apollomapping.com/,https://apollomapping.com/blog/are-you-looking-for-a-job-we-are-hiring,,"🇺🇸 Boulder, CO, USA",No,https://www.crunchbase.com/organization/apollo-mapping,https://www.linkedin.com/company/apollo-mapping/,https://twitter.com/ApolloMapping,,,https://www.youtube.com/user/ApolloMapping?app=desktop,,,,
ShadowBreak,Making imagery available,,https://www.shadowbreakintl.com/,https://www.shadowbreakintl.com/careers.html,,"🇬🇧 London, UK",Yes,https://www.crunchbase.com/organization/shadowbreak-intl,https://www.linkedin.com/company/shadowbreak-intl/about/,https://twitter.com/sbreakintl,,,,,,,
SpyMeSat / Orbit Logic,"Imagery marketplace and satellite tracking, product of Orbit Logic",,https://www.spymesat.com/,https://www.orbitlogic.com/careers.html,,"🇺🇸 Greenbelt, MD, USA",No,https://www.crunchbase.com/organization/orbit-logic,https://www.linkedin.com/company/orbit-logic/?originalSubdomain=ru,https://twitter.com/spymesat,,,https://www.youtube.com/channel/UCUjRQSlr2D26Pf9RP4k99Ig,,,,
Studiomapp,Location intelligence using EO,,https://www.studiomapp.com/,https://careers.studiomapp.com/jobs,,"🇮🇹 Ravenna RA, Italy",Yes,https://www.crunchbase.com/organization/studiomapp,https://www.linkedin.com/company/studiomapp/?originalSubdomain=it,https://twitter.com/studiomapp,,,https://www.youtube.com/channel/UCOffPy9JpfCxUWsvfLb3vLw,,,,
Open Cosmos,"Mission services, small satellites, data platfom",,https://www.open-cosmos.com/,https://opencosmos.bamboohr.com/jobs/,,"🇬🇧 Harwell, UK",Yes,https://www.crunchbase.com/organization/open-cosmos,https://www.linkedin.com/company/opencosmos/,https://twitter.com/Open_Cosmos,,https://github.com/opencosmos,https://www.youtube.com/channel/UCpjGb72dwxnXCXzSo1-avDg,,,,
SkyTruth,"Non-profit, enviromental protection",,https://skytruth.org/,https://skytruth.org/about/careers/,https://skytruth.org/about/internships/,"🇺🇸 Shepherdstown, WV, USA",Yes (US-based?),https://www.crunchbase.com/organization/skytruth,https://www.linkedin.com/company/skytruth/,https://twitter.com/skytruth,,https://github.com/SkyTruth,https://www.youtube.com/user/SkyTruthVideo/videos,,,,
EOS Data Analytics,AI-powered satellite data analytics products,,https://eos.com/,https://eos.com/company/careers/,,"🇺🇸 Mountain View, CA, USA",No jobs,https://www.crunchbase.com/organization/eos-data-analytics,https://www.linkedin.com/company/eos-data-analytics/,https://twitter.com/eos_da,,,https://www.youtube.com/channel/UCK9Dn-7WPM8LqYGOcotOmkQ,,https://medium.com/@eos_da,,
CropSafe,Satellite-based insights for farmers,,https://www.cropsafe.io/,https://jobs.wrk.xyz/cropsafe,,"🇬🇧 Belfast, UK | 🇺🇸 Los Angeles, CA, USA",Yes,,https://www.linkedin.com/company/crop-safe/,https://twitter.com/crop_safe,,,,,,https://www.instagram.com/crop_safe/,
Orbify,EO application building and hosting,,https://orbify.com/,?,,"🇵🇱 Krakow, Poland",No jobs,https://www.crunchbase.com/organization/orbify,https://www.linkedin.com/company/orbify/,https://twitter.com/OrbifyInc,,,,,https://blog.orbify.com/,,
4 Earth Intelligence,"Intelligence and analytics, environment, infrastructure, marine environment",,https://www.4earthintelligence.com/,https://www.4earthintelligence.com/about-us/careers/vacancies/,https://www.linkedin.com/company/4-earth-intelligence/jobs/,"🇬🇧 Bristol, UK",Yes,https://www.crunchbase.com/organization/4-earth-intelligence,https://www.linkedin.com/company/4-earth-intelligence/,https://twitter.com/4_intelligence,,,https://www.youtube.com/channel/UCE9wUQRs6B2Rdj6jEJGT2-Q,,,,
